"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2025","31,056.1","30,965.3","31,077.5","30,948.7","","0.25%"
"12/22/2025","30,977.2","30,819.9","31,000.9","30,784.9","","0.54%"
"12/19/2025","30,810.6","30,855.5","30,903.6","30,768.4","","-0.15%"
"12/18/2025","30,858.2","30,918.6","30,966.5","30,833.2","","-0.20%"
"12/17/2025","30,918.6","30,947.5","30,985.6","30,806.2","","-0.09%"
"12/16/2025","30,946.2","30,932.6","31,097.6","30,894.6","","0.04%"
"12/15/2025","30,935.2","30,887.2","30,976.0","30,820.0","","0.16%"
"12/12/2025","30,884.6","30,904.5","30,954.8","30,813.3","","-0.06%"
"12/11/2025","30,904.5","30,825.8","30,969.0","30,763.1","","0.26%"
"12/10/2025","30,825.8","30,662.0","30,840.3","30,631.3","","0.53%"
"12/09/2025","30,662.0","30,673.8","30,739.7","30,631.7","","-0.05%"
"12/08/2025","30,676.5","30,696.2","30,785.6","30,619.8","","-0.04%"
"12/05/2025","30,689.6","30,710.5","30,772.8","30,651.4","","-0.07%"
"12/04/2025","30,710.5","30,776.7","30,826.3","30,696.3","","-0.23%"
"12/03/2025","30,780.7","30,662.3","30,796.5","30,627.6","","0.40%"
"12/02/2025","30,657.0","30,616.9","30,675.1","30,563.7","","0.14%"
"12/01/2025","30,612.9","30,572.9","30,727.6","30,514.1","","0.13%"
"11/28/2025","30,572.9","30,583.7","30,622.3","30,454.8","","-0.04%"
"11/27/2025","30,583.7","30,584.9","30,645.8","30,531.1","","0.00%"
"11/26/2025","30,584.9","30,514.9","30,602.8","30,456.9","","0.23%"
"11/25/2025","30,514.9","30,387.2","30,555.8","30,359.0","","0.42%"
"11/24/2025","30,387.2","30,338.9","30,465.0","30,280.0","","0.16%"
"11/21/2025","30,338.9","30,407.6","30,456.2","30,279.6","","-0.23%"
"11/20/2025","30,407.6","30,431.1","30,464.3","30,350.6","","-0.09%"
"11/19/2025","30,433.8","30,554.2","30,597.3","30,381.0","","-0.39%"
"11/18/2025","30,554.2","30,550.7","30,628.1","30,513.3","","0.02%"
"11/17/2025","30,549.4","30,621.3","30,636.3","30,515.9","","-0.23%"
"11/14/2025","30,621.3","30,674.6","30,719.9","30,580.5","","-0.12%"
"11/13/2025","30,658.8","30,553.4","30,720.7","30,484.7","","0.34%"
"11/12/2025","30,554.7","30,478.0","30,566.5","30,439.1","","0.25%"
