Date,Price,Open,High,Low,Change,TimeIndex,Price_lag1,Price_lag2
2023-03-22,25520.1,25395.2,25674.0,25294.0,0.55,579,25380.2,25264.7
2023-03-23,25439.7,25538.7,25697.6,25436.4,-0.32,580,25520.1,25380.2
2023-03-24,25294.4,25448.2,25472.8,25202.3,-0.57,581,25439.7,25520.1
2023-03-27,25370.6,25328.2,25397.4,25260.3,0.3,582,25294.4,25439.7
2023-03-28,25459.4,25390.3,25490.9,25383.3,0.35,583,25370.6,25294.4
2023-03-29,25459.4,25480.3,25538.3,25403.7,0,584,25459.4,25370.6
2023-03-30,25584.7,25472.6,25656.6,25407.0,0.49,585,25459.4,25459.4
2023-03-31,25417.5,25607.3,25655.7,25427.8,-0.65,586,25584.7,25459.4
2023-04-03,25570.6,25452.5,25639.8,25317.2,0.6,587,25417.5,25584.7
2023-04-04,25693.4,25589.3,25753.2,25541.2,0.48,588,25570.6,25417.5
2023-04-05,25593.3,25702.8,25762.3,25557.3,-0.39,589,25693.4,25570.6
2023-04-06,25610.8,25591.3,25653.0,25525.3,0.07,590,25593.3,25693.4
2023-04-07,25544.8,25614.3,25625.9,25502.1,-0.26,591,25610.8,25593.3
2023-04-10,25453.5,25559.6,25598.3,25396.0,-0.36,592,25544.8,25610.8
2023-04-11,25580.8,25471.0,25627.3,25456.9,0.5,593,25453.5,25544.8
2023-04-12,25760.4,25586.3,25794.0,25585.1,0.7,594,25580.8,25453.5
2023-04-13,25880.1,25772.9,25950.1,25732.2,0.46,595,25760.4,25580.8
2023-04-14,25781.7,25890.3,25970.8,25726.6,-0.38,596,25880.1,25760.4
2023-04-17,25659.7,25768.8,25832.5,25624.1,-0.47,597,25781.7,25880.1
2023-04-18,25787.3,25660.5,25823.1,25654.6,0.5,598,25659.7,25781.7
2023-04-19,25753.9,25800.7,25830.1,25628.3,-0.13,599,25787.3,25659.7
2023-04-20,25759.3,25760.3,25845.7,25680.4,0.02,600,25753.9,25787.3
2023-04-21,25803.0,25768.5,25831.6,25696.1,0.17,601,25759.3,25753.9
2023-04-24,25939.7,25823.4,25964.9,25747.5,0.53,602,25803.0,25759.3
2023-04-25,25754.6,25953.1,26003.6,25736.3,-0.71,603,25939.7,25803.0
2023-04-26,25905.4,25756.2,26047.9,25744.5,0.59,604,25754.6,25939.7
2023-04-27,25852.8,25921.1,25969.3,25781.7,-0.2,605,25905.4,25754.6
2023-04-28,25841.9,25868.5,25918.3,25722.3,-0.04,606,25852.8,25905.4
2023-05-01,25736.4,25894.8,25900.7,25725.9,-0.41,607,25841.9,25852.8
2023-05-02,25795.0,25748.2,25832.6,25674.2,0.23,608,25736.4,25841.9
2023-05-03,25933.4,25810.3,26028.6,25810.3,0.54,609,25795.0,25736.4
2023-05-04,25815.3,25952.3,26021.1,25763.7,-0.46,610,25933.4,25795.0
2023-05-05,25826.2,25825.9,25909.3,25713.7,0.04,611,25815.3,25933.4
2023-05-08,25796.7,25869.6,25920.6,25792.7,-0.11,612,25826.2,25815.3
2023-05-09,25712.2,25808.0,25809.1,25674.6,-0.33,613,25796.7,25826.2
2023-05-10,25764.6,25722.7,25837.4,25681.3,0.2,614,25712.2,25796.7
2023-05-11,25612.1,25775.2,25816.2,25577.9,-0.59,615,25764.6,25712.2
2023-05-12,25438.6,25613.1,25654.8,25448.2,-0.68,616,25612.1,25764.6
2023-05-15,25503.5,25468.2,25550.4,25441.2,0.26,617,25438.6,25612.1
2023-05-16,25469.1,25509.3,25573.4,25456.5,-0.14,618,25503.5,25438.6
2023-05-17,25417.5,25474.1,25504.0,25353.7,-0.2,619,25469.1,25503.5
2023-05-18,25253.3,25425.2,25445.2,25245.0,-0.65,620,25417.5,25469.1
2023-05-19,25341.5,25266.1,25416.8,25225.6,0.35,621,25253.3,25417.5
2023-05-22,25338.8,25380.5,25419.2,25305.6,-0.01,622,25341.5,25253.3
2023-05-23,25277.2,25346.6,25371.7,25263.3,-0.24,623,25338.8,25341.5
2023-05-24,25225.6,25292.7,25357.7,25226.5,-0.2,624,25277.2,25338.8
2023-05-25,25157.5,25235.6,25253.2,25134.7,-0.27,625,25225.6,25277.2
2023-05-26,25174.6,25169.9,25266.0,25128.6,0.07,626,25157.5,25225.6
2023-05-29,25119.3,25187.3,25217.3,25127.3,-0.22,627,25174.6,25157.5
2023-05-30,25201.1,25133.2,25240.5,25070.7,0.33,628,25119.3,25174.6
2023-05-31,25100.8,25213.5,25215.8,24983.1,-0.4,629,25201.1,25119.3
2023-06-01,25269.9,25113.5,25292.6,25039.0,0.67,630,25100.8,25201.1
2023-06-02,25132.3,25278.5,25308.9,25136.8,-0.54,631,25269.9,25100.8
2023-06-05,25167.8,25154.5,25200.2,25083.9,0.14,632,25132.3,25269.9
2023-06-06,25112.5,25177.9,25207.6,25055.6,-0.22,633,25167.8,25132.3
2023-06-07,25121.9,25116.7,25225.7,25052.6,0.04,634,25112.5,25167.8
2023-06-08,25324.6,25128.2,25345.2,25120.0,0.81,635,25121.9,25112.5
2023-06-09,25223.2,25332.3,25342.9,25223.4,-0.4,636,25324.6,25121.9
2023-06-12,25257.4,25243.3,25345.4,25196.6,0.14,637,25223.2,25324.6
2023-06-13,25353.4,25260.8,25440.3,25259.6,0.38,638,25257.4,25223.2
2023-06-14,25452.8,25363.9,25539.7,25325.3,0.39,639,25353.4,25257.4
2023-06-15,25743.4,25458.6,25779.1,25383.7,1.14,640,25452.8,25353.4
2023-06-16,25723.8,25757.9,25814.8,25688.9,-0.08,641,25743.4,25452.8
2023-06-19,25686.2,25746.5,25758.3,25659.8,-0.15,642,25723.8,25743.4
2023-06-20,25672.1,25699.1,25752.8,25626.2,-0.05,643,25686.2,25723.8
2023-06-21,25817.9,25687.3,25841.0,25644.7,0.57,644,25672.1,25686.2
2023-06-22,25763.0,25829.3,25905.7,25755.2,-0.21,645,25817.9,25672.1
2023-06-23,25605.5,25776.3,25782.2,25508.7,-0.61,646,25763.0,25817.9
2023-06-26,25657.1,25634.0,25708.0,25613.7,0.2,647,25605.5,25763.0
2023-06-27,25775.6,25682.1,25830.1,25663.3,0.46,648,25657.1,25605.5
2023-06-28,25700.9,25791.2,25831.6,25674.9,-0.29,649,25775.6,25657.1
2023-06-29,25605.4,25713.8,25791.9,25597.5,-0.37,650,25700.9,25775.6
2023-06-30,25720.3,25608.1,25784.3,25547.8,0.45,651,25605.4,25700.9
2023-07-03,25851.3,25732.4,25925.7,25652.6,0.51,652,25720.3,25605.4
2023-07-04,25778.5,25872.4,25885.4,25781.1,-0.28,653,25851.3,25720.3
2023-07-05,25765.7,25792.9,25913.1,25775.4,-0.05,654,25778.5,25851.3
2023-07-06,25813.1,25793.2,25857.2,25697.1,0.18,655,25765.7,25778.5
2023-07-07,25920.5,25825.2,25954.7,25711.8,0.42,656,25813.1,25765.7
2023-07-10,26001.6,25946.4,26023.7,25855.9,0.31,657,25920.5,25813.1
2023-07-11,26073.2,26018.9,26109.2,26004.8,0.28,658,26001.6,25920.5
2023-07-12,26328.8,26090.1,26373.5,26070.5,0.98,659,26073.2,26001.6
2023-07-13,26561.6,26349.9,26583.5,26317.1,0.88,660,26328.8,26073.2
2023-07-14,26529.4,26578.7,26598.0,26490.7,-0.12,661,26561.6,26328.8
2023-07-17,26553.0,26562.3,26598.8,26483.9,0.09,662,26529.4,26561.6
2023-07-18,26532.7,26561.9,26667.1,26499.7,-0.08,663,26553.0,26529.4
2023-07-19,26460.9,26543.4,26576.3,26415.3,-0.27,664,26532.7,26553.0
2023-07-20,26314.4,26476.8,26611.1,26298.0,-0.55,665,26460.9,26532.7
2023-07-21,26307.8,26333.4,26370.8,26277.6,-0.02,666,26314.4,26460.9
2023-07-24,26178.2,26323.7,26377.8,26183.4,-0.49,667,26307.8,26314.4
2023-07-25,26145.9,26196.4,26285.6,26080.0,-0.12,668,26178.2,26307.8
2023-07-26,26227.9,26156.9,26297.0,26120.2,0.31,669,26145.9,26178.2
2023-07-27,25963.2,26234.3,26389.9,25952.1,-1.01,670,26227.9,26145.9
2023-07-28,26089.0,25981.6,26178.2,25932.2,0.48,671,25963.2,26227.9
2023-07-31,26038.5,26119.0,26167.6,26039.7,-0.19,672,26089.0,25963.2
2023-08-01,26005.4,26044.4,26065.7,25944.1,-0.13,673,26038.5,26089.0
2023-08-02,25956.6,26018.7,26109.4,25915.4,-0.19,674,26005.4,26038.5
2023-08-03,25992.0,25962.9,26049.3,25925.2,0.14,675,25956.6,26005.4
2023-08-04,26121.2,26007.7,26209.4,25910.8,0.5,676,25992.0,25956.6
2023-08-07,26101.5,26151.2,26153.6,25989.4,-0.08,677,26121.2,25992.0
2023-08-08,25993.8,26108.9,26137.0,25944.3,-0.41,678,26101.5,26121.2
2023-08-09,26044.4,26009.5,26110.0,25969.8,0.19,679,25993.8,26101.5
2023-08-10,26064.2,26060.1,26277.8,26030.0,0.08,680,26044.4,25993.8
2023-08-11,25992.0,26077.1,26149.1,25999.4,-0.28,681,26064.2,26044.4
2023-08-14,25967.9,26024.3,26105.7,25907.3,-0.09,682,25992.0,26064.2
2023-08-15,26131.4,25983.6,26261.0,25968.1,0.63,683,25967.9,25992.0
2023-08-16,26038.9,26149.5,26229.9,26030.6,-0.35,684,26131.4,25967.9
2023-08-17,25927.3,26042.6,26066.5,25906.7,-0.43,685,26038.9,26131.4
2023-08-18,25868.9,25946.0,26005.8,25831.6,-0.23,686,25927.3,26038.9
2023-08-21,25926.0,25911.4,25995.6,25831.3,0.22,687,25868.9,25927.3
2023-08-22,25938.8,25944.4,26153.6,25927.6,0.05,688,25926.0,25868.9
2023-08-23,26045.3,25964.7,26100.1,25917.6,0.41,689,25938.8,25926.0
2023-08-24,25936.2,26065.8,26098.2,25941.6,-0.42,690,26045.3,25938.8
2023-08-25,25945.9,25954.8,26058.9,25857.5,0.04,691,25936.2,26045.3
2023-08-28,26047.3,25959.1,26078.0,25888.8,0.39,692,25945.9,25936.2
2023-08-29,26303.0,26056.3,26349.0,26053.9,0.98,693,26047.3,25945.9
2023-08-30,26337.8,26317.5,26413.9,26207.9,0.13,694,26303.0,26047.3
2023-08-31,26083.4,26364.4,26399.4,26094.9,-0.97,695,26337.8,26303.0
2023-09-01,25919.8,26108.1,26210.5,25942.0,-0.63,696,26083.4,26337.8
2023-09-04,25963.2,25957.6,26034.7,25943.2,0.17,697,25919.8,26083.4
2023-09-05,25798.4,26002.2,26024.3,25765.2,-0.63,698,25963.2,25919.8
2023-09-06,25801.4,25802.5,25900.1,25743.0,0.01,699,25798.4,25963.2
2023-09-07,25737.0,25810.4,25849.5,25721.2,-0.25,700,25801.4,25798.4
2023-09-08,25736.4,25757.3,25864.3,25725.9,0,701,25737.0,25801.4
2023-09-11,25875.8,25778.8,25915.5,25759.6,0.54,702,25736.4,25737.0
2023-09-12,25914.7,25893.8,25961.0,25812.4,0.15,703,25875.8,25736.4
2023-09-13,25913.5,25933.3,26006.4,25884.3,0,704,25914.7,25875.8
2023-09-14,25772.5,25926.6,26044.7,25758.9,-0.54,705,25913.5,25914.7
2023-09-15,25838.4,25778.3,25936.9,25762.6,0.26,706,25772.5,25913.5
2023-09-18,26051.5,25873.8,26090.7,25862.8,0.82,707,25838.4,25772.5
2023-09-19,26019.8,26060.3,26137.1,26028.3,-0.12,708,26051.5,25838.4
2023-09-20,25869.4,26048.1,26082.6,25867.6,-0.58,709,26019.8,26051.5
2023-09-21,25909.6,25893.1,25966.9,25785.6,0.16,710,25869.4,26019.8
2023-09-22,25948.3,25930.5,26011.6,25826.5,0.15,711,25909.6,25869.4
2023-09-25,25818.4,25968.9,25987.1,25795.3,-0.5,712,25948.3,25909.6
2023-09-26,25769.7,25841.6,25885.2,25754.2,-0.19,713,25818.4,25948.3
2023-09-27,25604.3,25772.5,25829.0,25589.5,-0.64,714,25769.7,25818.4
2023-09-28,25748.1,25626.1,25814.0,25599.4,0.56,715,25604.3,25769.7
2023-09-29,25664.0,25781.0,25826.6,25674.6,-0.33,716,25748.1,25604.3
2023-10-02,25498.6,25685.5,25783.0,25515.5,-0.64,717,25664.0,25748.1
2023-10-03,25518.9,25518.0,25601.5,25483.9,0.08,718,25498.6,25664.0
2023-10-04,25648.3,25541.6,25738.6,25492.9,0.51,719,25518.9,25498.6
2023-10-05,25716.0,25678.7,25748.1,25611.8,0.26,720,25648.3,25518.9
2023-10-06,25787.5,25742.0,25849.3,25561.6,0.28,721,25716.0,25648.3
2023-10-09,25746.9,25757.9,25790.0,25643.2,-0.16,722,25787.5,25716.0
2023-10-10,25860.7,25767.6,25919.3,25744.7,0.44,723,25746.9,25787.5
2023-10-11,25947.9,25881.5,26003.8,25860.5,0.34,724,25860.7,25746.9
2023-10-12,25720.3,25970.8,26024.2,25729.6,-0.88,725,25947.9,25860.7
2023-10-13,25684.0,25734.5,25822.1,25665.5,-0.14,726,25720.3,25947.9
2023-10-16,25824.9,25694.9,25854.2,25694.9,0.55,727,25684.0,25720.3
2023-10-17,25898.2,25846.8,25959.0,25794.3,0.28,728,25824.9,25684.0
2023-10-18,25868.7,25908.8,26014.1,25853.8,-0.11,729,25898.2,25824.9
2023-10-19,25976.4,25884.5,26081.9,25802.7,0.42,730,25868.7,25898.2
2023-10-20,25974.0,25992.2,26023.4,25885.2,-0.01,731,25976.4,25868.7
2023-10-23,26232.6,25997.7,26269.1,25910.0,1,732,25974.0,25976.4
2023-10-24,25993.5,26245.7,26286.1,25989.4,-0.91,733,26232.6,25974.0
2023-10-25,25942.7,26011.5,26069.4,25958.2,-0.2,734,25993.5,26232.6
2023-10-26,25967.0,25975.8,25996.4,25889.4,0.09,735,25942.7,25993.5
2023-10-27,25955.8,25978.0,26049.9,25895.0,-0.04,736,25967.0,25942.7
2023-10-30,26063.4,25971.2,26106.0,25912.8,0.41,737,25955.8,25967.0
2023-10-31,25974.7,26081.4,26227.0,25932.2,-0.34,738,26063.4,25955.8
2023-11-01,25981.4,25977.7,26011.5,25862.7,0.03,739,25974.7,26063.4
2023-11-02,26093.3,25991.8,26220.5,25984.4,0.43,740,25981.4,25974.7
2023-11-03,26307.5,26108.7,26369.0,26087.8,0.82,741,26093.3,25981.4
2023-11-06,26079.8,26323.6,26366.8,26088.1,-0.87,742,26307.5,26093.3
2023-11-07,26009.3,26090.5,26120.0,25943.6,-0.27,743,26079.8,26307.5
2023-11-08,26093.0,26025.3,26128.0,25969.7,0.32,744,26009.3,26079.8
2023-11-09,25961.0,26103.7,26138.0,25955.9,-0.51,745,26093.0,26009.3
2023-11-10,25970.8,25975.4,26028.1,25900.6,0.04,746,25961.0,26093.0
2023-11-13,26080.1,25988.8,26107.8,25980.3,0.42,747,25970.8,25961.0
2023-11-14,26495.8,26089.5,26535.3,26045.0,1.59,748,26080.1,25970.8
2023-11-15,26344.9,26512.1,26531.8,26316.6,-0.57,749,26495.8,26080.1
2023-11-16,26352.5,26355.5,26468.1,26294.1,0.03,750,26344.9,26495.8
2023-11-17,26449.5,26360.1,26490.1,26254.8,0.37,751,26352.5,26344.9
2023-11-20,26437.2,26480.4,26488.7,26373.8,-0.05,752,26449.5,26352.5
2023-11-21,26323.4,26452.9,26508.5,26311.4,-0.43,753,26437.2,26449.5
2023-11-22,26352.0,26339.2,26440.4,26276.9,0.11,754,26323.4,26437.2
2023-11-23,26431.3,26365.3,26498.0,26347.1,0.3,755,26352.0,26323.4
2023-11-24,26538.0,26441.9,26578.7,26378.0,0.4,756,26431.3,26352.0
2023-11-27,26539.1,26549.6,26590.8,26481.0,0,757,26538.0,26431.3
2023-11-28,26628.8,26552.5,26687.0,26518.8,0.34,758,26539.1,26538.0
